,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
197,139130,KR7139130009,DGB금융지주,KOSPI,,7990,1,70,0.88,7920,7990,7870,763402,6062270170,1351475205670,169145833,STK
198,336370,KR7336370002,솔루스첨단소재,KOSPI,,38300,2,-550,-1.42,39700,39750,38300,147053,5699867800,1344758768500,35111195,STK
199,001230,KR7001230002,동국제강,KOSPI,,13950,1,200,1.45,13900,14000,13700,415021,5748307500,1331286681150,95432737,STK
200,025900,KR7025900002,동화기업,KOSDAQ,우량기업부,65800,1,600,0.92,66200,66800,65400,50269,3326620000,1329393787400,20203553,KSQ
201,042700,KR7042700005,한미반도체,KOSPI,,13350,2,-50,-0.37,13800,13850,13300,501856,6791731050,1320578715900,98919754,STK
202,005850,KR7005850003,에스엘,KOSPI,,27900,3,0,0.0,28500,28550,27850,183527,5156175600,1295913708000,46448520,STK
203,112040,KR7112040001,위메이드,KOSDAQ,우량기업부,38000,1,2550,7.19,36350,39950,35800,5448971,208615973250,1284284556000,33796962,KSQ
204,403870,KR7403870009,HPSP,KOSDAQ,중견기업부,63700,1,2800,4.6,62500,63900,62200,143131,9067076700,1280319931800,20099214,KSQ
205,120110,KR7120110002,코오롱인더,KOSPI,,46500,1,600,1.31,46700,46900,46250,107218,4994566300,1279637731500,27519091,STK
206,019170,KR7019170000,신풍제약,KOSPI,,24000,1,2350,10.85,21750,25000,21750,3529276,84095839650,1271639760000,52984990,STK
207,093370,KR7093370005,후성,KOSPI,,13500,1,250,1.89,13550,13650,13400,900058,12184582950,1250192056500,92606819,STK
208,064760,KR7064760002,티씨케이,KOSDAQ GLOBAL,우량기업부,106800,1,700,0.66,108800,111000,105300,39052,4204238600,1246890000000,11675000,KSQ
209,100090,KR7100090000,삼강엠앤티,KOSDAQ,중견기업부,23050,2,-50,-0.22,23600,24000,22900,395531,9211557300,1227067026600,53235012,KSQ
210,017800,KR7017800004,현대엘리베이,KOSPI,,30050,1,250,0.84,29800,30150,29700,113160,3392917050,1226496489550,40815191,STK
211,271940,KR7271940009,일진하이솔루스,KOSPI,,33750,1,400,1.2,34100,34400,33700,52608,1785902300,1225570162500,36313190,STK
212,214150,KR7214150005,클래시스,KOSDAQ GLOBAL,우량기업부,18850,1,400,2.17,18750,19100,18600,244811,4607236750,1221040832700,64776702,KSQ
213,214370,KR7214370009,케어젠,KOSDAQ,벤처기업부,113000,1,2900,2.63,112000,113900,110600,41311,4727805600,1213959000000,10743000,KSQ
214,280360,KR7280360009,롯데제과,KOSPI,,128500,2,-500,-0.39,129500,130500,127500,4232,544557000,1212342759000,9434574,STK
215,003090,KR7003090008,대웅,KOSPI,,20850,1,550,2.71,20750,21700,20350,98699,2076261850,1212260283000,58141980,STK
216,007390,KR7007390008,네이처셀,KOSDAQ,중견기업부,18900,1,450,2.44,18700,19350,18700,474872,9036945100,1183842248400,62637156,KSQ
217,298380,KR7298380007,에이비엘바이오,KOSDAQ,기술성장기업부,24500,1,300,1.24,24650,25350,24300,844394,21018206100,1170262443000,47765814,KSQ
218,267270,KR7267270007,현대건설기계,KOSPI,,59100,2,-800,-1.34,60500,60900,58100,391717,23141542300,1164316866300,19700793,STK
219,018670,KR7018670000,SK가스,KOSPI,,126000,2,-2000,-1.56,128000,128500,124000,11262,1421148000,1163010744000,9230244,STK
220,137400,KR7137400008,피엔티,KOSDAQ GLOBAL,우량기업부,51000,1,1050,2.1,50900,51800,50000,405876,20683812800,1159801098000,22741198,KSQ
221,032190,KR7032190001,다우데이타,KOSDAQ,우량기업부,30200,1,2100,7.47,28450,31000,28300,936669,28016875750,1156660000000,38300000,KSQ
222,353200,KR7353200009,대덕전자,KOSPI,,23400,1,200,0.86,23700,23850,23350,275846,6491367850,1156356045000,49416925,STK
223,009240,KR7009240003,한샘,KOSPI,,47200,1,250,0.53,47100,47950,46600,30422,1439238650,1110801401600,23533928,STK
224,012510,KR7012510004,더존비즈온,KOSPI,,36400,1,450,1.25,36300,36550,36000,66226,2408663250,1105933337600,30382784,STK
