,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
78,011780,KR7011780004,금호석유,KOSPI,,146500,2,-3000,-2.01,151500,151500,146000,57575,8522509000,4294546708000,29314312,STK
79,000100,KR7000100008,유한양행,KOSPI,,58500,1,100,0.17,58600,59400,58400,148502,8729423300,4284041346000,73231476,STK
80,161390,KR7161390000,한국타이어앤테크놀로지,KOSPI,,34550,1,550,1.62,34400,34800,34300,309127,10669792700,4279883633950,123875069,STK
81,021240,KR7021240007,코웨이,KOSPI,,56700,2,-900,-1.56,57200,57500,55700,235089,13297923189,4184438397300,73799619,STK
82,006800,KR7006800007,미래에셋증권,KOSPI,,6780,1,130,1.95,6740,6790,6710,665009,4500695980,4171845246240,615316408,STK
83,008560,KR7008560005,메리츠증권,KOSPI,,6140,1,300,5.14,5950,6200,5790,2252025,13620672890,3776349155060,615040579,STK
84,029780,KR7029780004,삼성카드,KOSPI,,32500,1,200,0.62,32350,32550,32200,60477,1961144150,3765413957500,115858891,STK
85,012450,KR7012450003,한화에어로스페이스,KOSPI,,72200,2,-400,-0.55,73200,73400,71500,523488,37809985900,3655486000000,50630000,STK
86,241560,KR7241560002,두산밥캣,KOSPI,,36000,1,450,1.27,36150,36450,35750,1070491,38643233150,3608969976000,100249166,STK
87,293490,KR7293490009,카카오게임즈,KOSDAQ GLOBAL,우량기업부,43250,2,-250,-0.57,44850,45250,43200,554464,24547296850,3557780421750,82260819,KSQ
88,028300,KR7028300002,HLB,KOSDAQ,중견기업부,33200,1,650,2.0,33050,34150,33050,819675,27535795750,3549195569200,106903481,KSQ
89,086520,KR7086520004,에코프로,KOSDAQ,우량기업부,141500,1,1500,1.07,141900,143500,139800,584329,82896347300,3544787816000,25051504,KSQ
90,064350,KR7064350002,현대로템,KOSPI,,32000,1,150,0.47,31000,32300,30900,4874778,154557157100,3492553376000,109142293,STK
91,010620,KR7010620003,현대미포조선,KOSPI,,86000,2,-500,-0.58,86600,87400,85700,402484,34740644600,3435024814000,39942149,STK
92,004990,KR7004990008,롯데지주,KOSPI,,32650,2,-200,-0.61,33250,33250,32650,114822,3771008600,3425286588050,104909237,STK
93,282330,KR7282330000,BGF리테일,KOSPI,,196500,2,-9000,-4.38,202500,203500,195500,40334,7999162000,3396287529000,17283906,STK
94,137310,KR7137310009,에스디바이오센서,KOSPI,,31800,2,-1100,-3.34,33400,33500,31700,305231,9883739500,3310935005400,104117453,STK
95,071050,KR7071050009,한국금융지주,KOSPI,,59000,1,1300,2.25,58400,59200,58200,166601,9790352200,3287833528000,55725992,STK
96,036460,KR7036460004,한국가스공사,KOSPI,,35000,1,100,0.29,35300,35500,34750,318785,11180737800,3230955000000,92313000,STK
97,005940,KR7005940002,NH투자증권,KOSPI,,9710,1,80,0.83,9700,9730,9640,515354,4996729320,3220476092910,331665921,STK
98,128940,KR7128940004,한미약품,KOSPI,,260500,2,-1000,-0.38,261000,263000,259500,17661,4612113000,3208831445500,12317971,STK
