Date,Close,High
2023-05-23 21:00:00,12.9,13.3
2023-05-24 01:00:00,12.7,12.9
2023-05-24 05:00:00,12.8,12.8
2023-05-24 09:00:00,12.4,12.8
2023-05-24 13:00:00,12.3,12.5
2023-05-24 17:00:00,12.3,12.4
2023-05-24 21:00:00,12.3,12.4
2023-05-25 01:00:00,12.3,12.3
2023-05-25 05:00:00,12.4,12.5
2023-05-25 09:00:00,12.4,12.5
2023-05-25 13:00:00,12.1,12.5
2023-05-25 17:00:00,12.1,12.2
2023-05-25 21:00:00,12.1,12.2
2023-05-26 01:00:00,12.2,12.2
2023-05-26 05:00:00,12.2,12.2
2023-05-26 09:00:00,12.1,12.2
2023-05-26 13:00:00,12.1,12.1
2023-05-26 17:00:00,12.2,12.2
2023-05-26 21:00:00,12.3,12.4
2023-05-27 01:00:00,12.3,12.3
2023-05-27 05:00:00,12.2,12.3
2023-05-27 09:00:00,12.2,12.3
2023-05-27 13:00:00,12.3,12.4
2023-05-27 17:00:00,12.4,12.4
2023-05-27 21:00:00,12.4,12.4
2023-05-28 01:00:00,12.4,12.4
2023-05-28 05:00:00,12.4,12.5
2023-05-28 09:00:00,12.6,12.6
2023-05-28 13:00:00,12.6,12.6
2023-05-28 17:00:00,12.5,12.6
2023-05-28 21:00:00,12.4,12.5
2023-05-29 01:00:00,12.5,12.6
2023-05-29 05:00:00,12.6,12.8
2023-05-29 09:00:00,12.5,12.8
2023-05-29 13:00:00,12.7,12.7
2023-05-29 17:00:00,12.7,12.8
2023-05-29 21:00:00,12.6,12.8
2023-05-30 01:00:00,12.5,12.6
2023-05-30 05:00:00,12.5,12.7
2023-05-30 09:00:00,12.6,12.6
2023-05-30 13:00:00,12.6,12.6
2023-05-30 17:00:00,12.9,13.3
2023-05-30 21:00:00,12.5,12.9
2023-05-31 01:00:00,12.6,12.6
2023-05-31 05:00:00,12.5,12.6
2023-05-31 09:00:00,12.5,12.6
2023-05-31 13:00:00,12.2,12.5
2023-05-31 17:00:00,12.2,12.3
2023-05-31 21:00:00,12.2,12.3
2023-06-01 01:00:00,12.2,12.3
2023-06-01 05:00:00,12.3,12.3
2023-06-01 09:00:00,12.2,12.3
2023-06-01 13:00:00,12.1,12.3
2023-06-01 17:00:00,12.2,12.3
2023-06-01 21:00:00,12.3,12.3
2023-06-02 01:00:00,12.2,12.3
2023-06-02 05:00:00,12.1,12.3
