Date,Open,High,Low,Close,Volume,Value,SMA_13,SMA_60,BOP,ADX_14,DMP_14,DMN_14,MACD_8_21_9,MACDh_8_21_9,MACDs_8_21_9,STOCHk_14_3_3,STOCHd_14_3_3,ISA_9,ISB_26,ITS_9,IKS_26,ICS_26,SUPERT_7_3.0,SUPERTd_7_3.0,SUPERTl_7_3.0,SUPERTs_7_3.0,CDL_DARKCLOUDCOVER,CDL_MORNINGSTAR,CDL_MARUBOZU,CDL_HAMMER
2023-05-04 09:00:00,1825.0,2070.0,1750.0,1785.0,177716016.39214274,338546860015.2906,,,-0.125,,,,,,,,,,,,,1335.0,0.0,1,,,0.0,0.0,0.0,0.0
2023-05-05 09:00:00,1790.0,1850.0,1685.0,1735.0,101280134.98637885,178232641383.25525,,,-0.3333333333333333,,,,,,,,,,,,,1305.0,,1,,,0.0,0.0,0.0,0.0
2023-05-06 09:00:00,1735.0,1845.0,1710.0,1785.0,100058388.31141534,177781297275.42175,,,0.37037037037037035,,,,,,,,,,,,,1275.0,,1,,,0.0,0.0,0.0,0.0
2023-05-07 09:00:00,1785.0,1805.0,1625.0,1675.0,47709099.32510778,82711277121.68373,,,-0.6111111111111112,,,,,,,,,,,,,1270.0,,1,,,0.0,0.0,0.0,0.0
2023-05-08 09:00:00,1665.0,1675.0,1425.0,1535.0,101708778.13176344,156486160022.6342,,,-0.52,,,,,,,,,,,,,1250.0,,1,,,0.0,0.0,0.0,0.0
2023-05-09 09:00:00,1530.0,1635.0,1470.0,1590.0,84030743.10361905,129124632043.9692,,,0.36363636363636365,,,,,,,,,,,,,1275.0,,1,,,0.0,0.0,0.0,0.0
2023-05-10 09:00:00,1590.0,1665.0,1515.0,1580.0,107682109.7899139,171176448259.54788,,,-0.06666666666666667,,,,,,,,,,,,,1115.0,,1,,,0.0,0.0,0.0,0.0
2023-05-11 09:00:00,1580.0,1590.0,1415.0,1450.0,64011315.9123847,95442977262.98872,,,-0.7428571428571429,,,,,,,,,,,,,1110.0,979.6428571428571,1,979.6428571428571,,0.0,0.0,0.0,0.0
2023-05-12 09:00:00,1450.0,1520.0,1365.0,1510.0,75450732.11857799,107978188639.72264,,,0.3870967741935484,,,,,,,,,,,1717.5,,1025.0,979.6428571428571,1,979.6428571428571,,0.0,0.0,0.0,0.0
2023-05-13 09:00:00,1505.0,1550.0,1475.0,1490.0,38520824.62537088,57873319282.30603,,,-0.2,,,,,,,,,,,1607.5,,1000.0,1039.2784256559767,1,1039.2784256559767,,0.0,0.0,0.0,0.0
2023-05-14 09:00:00,1490.0,1630.0,1450.0,1570.0,67880979.0428117,105234427787.78156,,,0.4444444444444444,,,,,,,,,,,1605.0,,990.0,1057.2386505622658,1,1057.2386505622658,,0.0,0.0,0.0,0.0
