Date,Open,High,Low,Close
2022-09-15,94000.0,94000.0,93400.0,93400.0
2022-09-16,93200.0,93300.0,91900.0,92200.0
2022-09-19,92000.0,92300.0,90800.0,91800.0
2022-09-20,92300.0,92900.0,91700.0,92400.0
2022-09-21,92000.0,92400.0,90800.0,90900.0
2022-09-22,89400.0,90300.0,88300.0,90200.0
2022-09-23,90200.0,90200.0,88300.0,88900.0
2022-09-26,87500.0,88500.0,84300.0,84600.0
2022-09-27,85000.0,87300.0,84900.0,86600.0
2022-09-28,85800.0,87800.0,84700.0,86200.0
2022-09-29,86200.0,87200.0,84600.0,85300.0
2022-09-30,85200.0,85300.0,83600.0,83900.0
2022-10-04,84500.0,85000.0,83900.0,83900.0
2022-10-05,84800.0,84900.0,82700.0,83700.0
2022-10-06,83800.0,85000.0,83800.0,84100.0
2022-10-07,83500.0,85200.0,83400.0,84500.0
2022-10-11,83300.0,84400.0,81500.0,83500.0
2022-10-12,83100.0,87300.0,82100.0,87200.0
2022-10-13,86500.0,87100.0,83400.0,83500.0
2022-10-14,84600.0,85900.0,84100.0,84900.0
2022-10-17,84000.0,85300.0,83100.0,85000.0
2022-10-18,86100.0,86700.0,85000.0,86200.0
2022-10-19,86400.0,87500.0,85900.0,86200.0
2022-10-20,85300.0,85700.0,84600.0,85000.0
2022-10-21,84600.0,85800.0,84200.0,85500.0
2022-10-24,86400.0,87300.0,85000.0,85200.0
2022-10-25,86300.0,86300.0,85000.0,85300.0
2022-10-26,85300.0,86000.0,82300.0,82500.0
2022-10-27,82800.0,84900.0,82600.0,84700.0
2022-10-28,84800.0,86300.0,84700.0,85500.0
2022-10-31,86000.0,86900.0,83900.0,84600.0
2022-11-01,84600.0,86500.0,84000.0,86000.0
2022-11-02,85500.0,86800.0,85100.0,86500.0
2022-11-03,85400.0,86500.0,85200.0,85500.0
2022-11-04,85600.0,88600.0,85400.0,88600.0
2022-11-07,88600.0,89100.0,87200.0,87500.0
2022-11-08,88300.0,89200.0,87600.0,88600.0
2022-11-09,89200.0,91500.0,88600.0,90000.0
2022-11-10,89900.0,90100.0,88700.0,89300.0
2022-11-11,92000.0,92800.0,91100.0,92500.0
2022-11-14,92500.0,94100.0,90100.0,93000.0
2022-11-15,94000.0,94400.0,93200.0,93600.0
2022-11-16,94400.0,96900.0,94400.0,95700.0
2022-11-17,95600.0,95600.0,93900.0,94300.0
2022-11-18,94300.0,94300.0,92100.0,92200.0
2022-11-21,92800.0,93200.0,90900.0,92000.0
2022-11-22,92300.0,92700.0,91200.0,92000.0
2022-11-23,92300.0,93200.0,92100.0,93000.0
2022-11-24,92900.0,93500.0,92800.0,93200.0
2022-11-25,93400.0,93400.0,92500.0,93100.0
2022-11-28,92200.0,93000.0,91000.0,91200.0
2022-11-29,91500.0,92100.0,90900.0,91900.0
2022-11-30,91500.0,92600.0,91100.0,92100.0
2022-12-01,92900.0,93900.0,92700.0,93200.0
2022-12-02,93000.0,93000.0,91200.0,91300.0
2022-12-05,91400.0,93600.0,91100.0,92500.0
2022-12-06,92400.0,99300.0,92200.0,99100.0
