종목코드,ISU_CD,종목명,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
005930,KR7005930003,삼성전자,KOSPI,,62000,1,100,0.16,62200,62500,61600,5133174,318065407000,370126518100000,5969782550,STK
373220,KR7373220003,LG에너지솔루션,KOSPI,,596000,2,-8000,-1.32,604000,610000,586000,181855,108291129000,139464000000000,234000000,STK
000660,KR7000660001,SK하이닉스,KOSPI,,91400,1,500,0.55,91300,91500,90400,693700,63156601500,66539416161000,728002365,STK
207940,KR7207940008,삼성바이오로직스,KOSPI,,904000,1,3000,0.33,909000,910000,901000,9968,9033765000,64341296000000,71174000,STK
051910,KR7051910008,LG화학,KOSPI,,718000,2,-8000,-1.1,735000,740000,713000,104767,75993600000,50685302274000,70592343,STK
006400,KR7006400006,삼성SDI,KOSPI,,719000,2,-40000,-5.27,756000,756000,715000,289107,211097885000,49441697070000,68764530,STK
005935,KR7005931001,삼성전자우,KOSPI,,56800,1,100,0.18,56900,57100,56300,230819,13091393200,46739964560000,822886700,STK
005380,KR7005380001,현대차,KOSPI,,175000,2,-1000,-0.57,176500,177000,174000,286651,50315677000,37391932725000,213668187,STK
035420,KR7035420009,NAVER,KOSPI,,189000,1,500,0.27,190000,190500,188000,236136,44716067000,31005277065000,164049085,STK
000270,KR7000270009,기아,KOSPI,,69000,2,-900,-1.29,70100,70200,68800,612958,42443234200,27970070943000,405363347,STK
068270,KR7068270008,셀트리온,KOSPI,,185500,1,500,0.27,186500,189000,185000,151021,28213822500,26119366455000,140805210,STK
035720,KR7035720002,카카오,KOSPI,,57700,2,-800,-1.37,58500,58900,57300,1052020,60893503700,25695886507600,445335988,STK
005490,KR7005490008,POSCO홀딩스,KOSPI,,291000,2,-3500,-1.19,295500,297000,290000,181373,53158307000,24610227930000,84571230,STK
028260,KR7028260008,삼성물산,KOSPI,,122500,3,0,0.0,123000,123500,122000,47006,5773536500,22893667422500,186887081,STK
012330,KR7012330007,현대모비스,KOSPI,,220000,1,1000,0.46,220000,221000,217000,43603,9564430000,20742720680000,94285094,STK
105560,KR7105560007,KB금융,KOSPI,,49750,1,100,0.2,49950,50100,49650,219843,10971541600,20342629133000,408897068,STK
055550,KR7055550008,신한지주,KOSPI,,36950,2,-300,-0.81,37450,37450,36950,232046,8611923100,18952916140450,512934131,STK
003670,KR7003670007,포스코케미칼,KOSPI,,234500,1,500,0.21,236000,239000,231000,360135,84530628000,18165125090000,77463220,STK
096770,KR7096770003,SK이노베이션,KOSPI,,177500,2,-2500,-1.39,179000,180500,177000,130602,23315566000,16412637610000,92465564,STK
034730,KR7034730002,SK,KOSPI,,219500,2,-2500,-1.13,221500,222500,219000,33505,7384414000,16275777715500,74149329,STK
066570,KR7066570003,LG전자,KOSPI,,97500,1,1900,1.99,96100,98800,95800,408309,39798753900,15955661865000,163647814,STK
032830,KR7032830002,삼성생명,KOSPI,,67300,2,-700,-1.03,68300,68300,67300,38548,2612845300,13460000000000,200000000,STK
003550,KR7003550001,LG,KOSPI,,84600,1,800,0.95,84400,85300,83800,58899,4986606600,13307664007800,157300993,STK
323410,KR7323410001,카카오뱅크,KOSPI,,27900,3,0,0.0,28350,29050,27650,4619191,131083319000,13298086842300,476633937,STK
033780,KR7033780008,KT&G,KOSPI,,94600,1,1600,1.72,93800,94700,93700,115459,10895183400,12987870216200,137292497,STK
