Date,Close,High
2023-05-23 21:00:00,1370.0,1375.0
2023-05-24 01:00:00,1370.0,1380.0
2023-05-24 05:00:00,1380.0,1380.0
2023-05-24 09:00:00,1345.0,1380.0
2023-05-24 13:00:00,1355.0,1360.0
2023-05-24 17:00:00,1345.0,1360.0
2023-05-24 21:00:00,1330.0,1350.0
2023-05-25 01:00:00,1325.0,1330.0
2023-05-25 05:00:00,1325.0,1335.0
2023-05-25 09:00:00,1300.0,1325.0
2023-05-25 13:00:00,1295.0,1310.0
2023-05-25 17:00:00,1305.0,1305.0
2023-05-25 21:00:00,1310.0,1320.0
2023-05-26 01:00:00,1340.0,1340.0
2023-05-26 05:00:00,1420.0,1465.0
2023-05-26 09:00:00,1380.0,1450.0
2023-05-26 13:00:00,1375.0,1400.0
2023-05-26 17:00:00,1390.0,1420.0
2023-05-26 21:00:00,1395.0,1400.0
2023-05-27 01:00:00,1420.0,1420.0
2023-05-27 05:00:00,1400.0,1420.0
2023-05-27 09:00:00,1400.0,1410.0
2023-05-27 13:00:00,1385.0,1410.0
2023-05-27 17:00:00,1400.0,1405.0
2023-05-27 21:00:00,1400.0,1410.0
2023-05-28 01:00:00,1405.0,1410.0
2023-05-28 05:00:00,1415.0,1425.0
2023-05-28 09:00:00,1415.0,1425.0
2023-05-28 13:00:00,1415.0,1435.0
2023-05-28 17:00:00,1415.0,1420.0
2023-05-28 21:00:00,1420.0,1425.0
2023-05-29 01:00:00,1405.0,1425.0
2023-05-29 05:00:00,1425.0,1440.0
2023-05-29 09:00:00,1415.0,1430.0
2023-05-29 13:00:00,1410.0,1415.0
2023-05-29 17:00:00,1415.0,1415.0
2023-05-29 21:00:00,1410.0,1430.0
2023-05-30 01:00:00,1420.0,1435.0
2023-05-30 05:00:00,1435.0,1435.0
2023-05-30 09:00:00,1425.0,1435.0
2023-05-30 13:00:00,1430.0,1430.0
2023-05-30 17:00:00,1435.0,1440.0
2023-05-30 21:00:00,1420.0,1435.0
2023-05-31 01:00:00,1415.0,1420.0
2023-05-31 05:00:00,1405.0,1415.0
2023-05-31 09:00:00,1400.0,1410.0
2023-05-31 13:00:00,1370.0,1405.0
2023-05-31 17:00:00,1350.0,1370.0
2023-05-31 21:00:00,1335.0,1355.0
2023-06-01 01:00:00,1340.0,1350.0
2023-06-01 05:00:00,1340.0,1350.0
2023-06-01 09:00:00,1340.0,1365.0
2023-06-01 13:00:00,1335.0,1345.0
2023-06-01 17:00:00,1345.0,1350.0
2023-06-01 21:00:00,1350.0,1355.0
2023-06-02 01:00:00,1335.0,1365.0
2023-06-02 05:00:00,1315.0,1335.0
2023-06-02 09:00:00,1320.0,1320.0
2023-06-02 13:00:00,1320.0,1325.0
2023-06-02 17:00:00,1335.0,1335.0
2023-06-02 21:00:00,1325.0,1335.0
2023-06-03 01:00:00,1330.0,1340.0
2023-06-03 05:00:00,1330.0,1340.0
2023-06-03 09:00:00,1360.0,1360.0
2023-06-03 13:00:00,1410.0,1435.0
2023-06-03 17:00:00,1425.0,1445.0
2023-06-03 21:00:00,1445.0,1500.0
2023-06-04 01:00:00,1460.0,1495.0
